time,ch0,ch1
00:00:00.206.460,0.0000,1.5234
00:00:00.206.793,-0.0098,1.5625
00:00:00.207.126,-0.0195,1.6040
00:00:00.207.459,-0.0488,1.6431
00:00:00.207.792,-0.0684,1.6333
00:00:00.208.125,-0.0879,1.5039
00:00:00.208.458,-0.1392,1.3843
00:00:00.208.791,-0.1880,1.2646
00:00:00.209.124,-0.1880,1.1157
00:00:00.209.457,-0.2075,0.9570
00:00:00.209.790,-0.2490,0.7568
00:00:00.210.123,-0.2783,0.5371
00:00:00.210.456,-0.2979,0.3491
00:00:00.210.789,-0.3174,0.1709
00:00:00.211.122,-0.3687,0.0000
00:00:00.211.455,-0.3979,-0.1685
00:00:00.211.788,-0.3784,-0.3589
00:00:00.212.121,-0.3882,-0.4883
00:00:00.212.454,-0.3467,-0.6274
00:00:00.212.787,-0.2783,-0.7471
00:00:00.213.120,-0.2075,-0.8765
00:00:00.213.453,-0.1489,-0.9741
00:00:00.213.786,-0.1001,-1.0645
00:00:00.214.119,-0.0684,-1.1548
00:00:00.214.452,-0.0391,-1.2329
00:00:00.214.785,0.0195,-1.2939
00:00:00.215.118,0.0098,-1.3623
00:00:00.215.451,0.0513,-1.4136
00:00:00.215.784,0.0513,-1.4624
00:00:00.216.117,0.0610,-1.5112
00:00:00.216.450,0.0903,-1.5527
00:00:00.216.783,0.0903,-1.5918
00:00:00.217.116,0.0708,-1.6406
00:00:00.217.449,0.0903,-1.6821
00:00:00.217.782,0.1587,-1.6626
00:00:00.218.115,0.2490,-1.5332
00:00:00.218.448,0.2295,-1.4233
00:00:00.218.781,0.2197,-1.2842
00:00:00.219.114,0.2393,-1.1353
00:00:00.219.447,0.2783,-0.9741
00:00:00.219.780,0.3491,-0.7764
00:00:00.220.113,0.3491,-0.5566
00:00:00.220.446,0.3784,-0.3784
00:00:00.220.779,0.4297,-0.1978
00:00:00.221.112,0.4590,-0.0195
00:00:00.221.445,0.4883,0.1489
00:00:00.221.778,0.4883,0.3198
